PUBCHEM_SMILES,PUBCHEM_ACTIVITY_OUTCOME,Antagonist Activity,Viability Activity,Antagonist Efficacy (%),Molecule
C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c200>
C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c270>
C1CC(CCC1CC2CCC(CC2)N)N,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c2e0>
CC1=NN(C(=O)C1N=NC2=CC=CC=C2)C3=C(C=CC(=C3)S(=O)(=O)[O-])Cl.[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c350>
C1=CC(=C(C=C1[N+](=O)[O-])N)O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c3c0>
CC1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c430>
C1=CC(=C(C=C1[N+](=O)[O-])OCCO)NCCO,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c4a0>
C1=C(SC(=N1)N)[N+](=O)[O-],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c510>
C1=C(C=C(C(=C1O)O)O)C(=O)O,Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c580>
C1=CC(=CC=C1NC(=O)CC[C@@H](C(=O)O)N)[N+](=O)[O-].Cl,Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c5f0>
CC1=NN(C(=O)C1N=NC2=CC=C(C=C2)S(=O)(=O)[O-])C3=CC(=C(C=C3Cl)S(=O)(=O)[O-])Cl.[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c660>
C1=CC(=CC=C1C2=CSC(=N2)NN)N,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c6d0>
CC1=CC(=C(C=C1N=NC2=C(C3=CC=CC=C3C(=C2)S(=O)(=O)[O-])O)S(=O)(=O)[O-])C.[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c740>
C[C@H]1/C=C\C=C(/C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)[O-])\C.[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c7b0>
CC1=NN(C(=O)C1N=NC2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)[O-].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c820>
C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c890>
C1=CC=C(C=C1)NC2=C(C=C(C=C2)NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)[O-].[Na+],Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c900>
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c970>
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c9e0>
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4ca50>
C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4cac0>
CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4cb30>
CC1=NC=C(C(=C1O)CN)CO.Cl.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4cba0>
C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4cc10>
C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4cc80>
